Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	HOST	Instrument	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_Prefix	SRA Study	create_date	version
SRR5098341	AMPLICON	600	134745000	PRJNA356769	SAMN06126798	Metagenome or environmental	70365468	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,sra,run.zq"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415126	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	161412393_2_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	161412393_2_ITS2	161412393_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098342	AMPLICON	545	6589050	PRJNA356769	SAMN06126934	Metagenome or environmental	3229305	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"sra,fastq,run.zq"	"gs,s3,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX2415127	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	937495960_1_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	937495960_1_18S	937495960_1_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098343	AMPLICON	600	31563000	PRJNA356769	SAMN06126572	Metagenome or environmental	15788694	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX2415128	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158438567_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158438567_1_ITS2	158438567_1_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098344	AMPLICON	545	5647290	PRJNA356769	SAMN06126842	Metagenome or environmental	2781538	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,run.zq,sra"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415129	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	368533040_3_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	368533040_3_18S	368533040_3_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098345	AMPLICON	545	43724260	PRJNA356769	SAMN06126726	Metagenome or environmental	20764689	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"run.zq,sra,fastq"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX2415130	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160582958_1_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160582958_1_18S	160582958_1_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098346	AMPLICON	600	27585000	PRJNA356769	SAMN06126686	Metagenome or environmental	12015381	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,sra,run.zq"	"s3,ncbi,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415131	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160137896_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160137896_1_ITS2	160137896_1_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098347	AMPLICON	600	636000	PRJNA356769	SAMN06126758	Metagenome or environmental	412738	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,run.zq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415132	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160866180_3_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160866180_3_ITS2	160866180_3_ITS2	SRP094940		
SRR5098348	AMPLICON	600	4929000	PRJNA356769	SAMN06126605	Metagenome or environmental	2522778	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"run.zq,fastq,sra"	"ncbi,s3,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415133	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	159025240_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	159025240_1_ITS2	159025240_1_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098349	AMPLICON	600	22443600	PRJNA356769	SAMN06126901	Metagenome or environmental	11325895	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,sra,fastq"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415134	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	763721271_3_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	763721271_3_ITS2	763721271_3_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098350	AMPLICON	545	19387285	PRJNA356769	SAMN06126894	Metagenome or environmental	9162400	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX2415135	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	686765762_2_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	686765762_2_18S	686765762_2_18S	SRP094940	2016-12-12T10:06:00Z	1
SRR5098351	AMPLICON	600	56037000	PRJNA356769	SAMN06126739	Metagenome or environmental	28155584	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,fastq,run.zq"	"s3,gs,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415136	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160663879_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160663879_1_ITS2	160663879_1_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098352	AMPLICON	545	979910	PRJNA356769	SAMN06126790	Metagenome or environmental	542213	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,sra,fastq"	"ncbi,gs,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415137	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	161331472_3_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	161331472_3_18S	161331472_3_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098353	AMPLICON	545	214185	PRJNA356769	SAMN06126591	Metagenome or environmental	183480	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,sra,run.zq"	"ncbi,gs,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415138	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158883629_2_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158883629_2_18S	158883629_2_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098354	AMPLICON	500	34449500	PRJNA356769	SAMN06126852	Metagenome or environmental	14668881	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415139	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	432193348_2_ITS2-00000000-AGCWJ.Ayvaz.p255	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	432193348_2_ITS2	432193348_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098355	AMPLICON	500	17258000	PRJNA356769	SAMN06126639	Metagenome or environmental	7259268	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,run.zq,fastq"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX2415140	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	159429842_1_ITS2-00000000-AGCWJ.Ayvaz.p255	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	159429842_1_ITS2	159429842_1_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098356	AMPLICON	500	6288500	PRJNA356769	SAMN06126643	Metagenome or environmental	3013858	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,run.zq,sra"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415141	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	159470302_2_ITS2-00000000-AGCWJ.Ayvaz.p255	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	159470302_2_ITS2	159470302_2_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098357	AMPLICON	600	7608000	PRJNA356769	SAMN06126578	Metagenome or environmental	3812554	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,run.zq,fastq"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415142	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158499257_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158499257_1_ITS2	158499257_1_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098358	AMPLICON	545	37530880	PRJNA356769	SAMN06126857	Metagenome or environmental	17433102	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,sra,run.zq"	"ncbi,s3,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415143	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	441369442_3_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	441369442_3_18S	441369442_3_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098359	AMPLICON	600	43915800	PRJNA356769	SAMN06126573	Metagenome or environmental	21744731	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,fastq,run.zq"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415145	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158438567_2_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158438567_2_ITS2	158438567_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098360	AMPLICON	500	28910500	PRJNA356769	SAMN06126777	Metagenome or environmental	11870331	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415146	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	161007791_2_ITS2-00000000-AGCWJ.Ayvaz.p255	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	161007791_2_ITS2	161007791_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098361	AMPLICON	600	13050000	PRJNA356769	SAMN06126589	Metagenome or environmental	6401112	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,run.zq,fastq"	"ncbi,gs,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415147	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158822939_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158822939_1_ITS2	158822939_1_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098362	AMPLICON	545	9770215	PRJNA356769	SAMN06126909	Metagenome or environmental	4697238	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"sra,fastq,run.zq"	"ncbi,s3,gs"	"s3.us-east-1,ncbi.public,gs.US"	SRX2415148	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	809635352_2_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	809635352_2_18S	809635352_2_18S	SRP094940	2016-12-12T10:06:00Z	1
SRR5098363	AMPLICON	500	63860500	PRJNA356769	SAMN06126860	Metagenome or environmental	25203082	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,fastq,sra"	"ncbi,gs,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX2415149	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	451588811_2_ITS2-00000000-AGCWJ.Ayvaz.p255	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	451588811_2_ITS2	451588811_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098364	AMPLICON	600	23110200	PRJNA356769	SAMN06126609	Metagenome or environmental	12056440	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"run.zq,sra,fastq"	"ncbi,s3,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX2415150	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	159146620_1_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	159146620_1_ITS2	159146620_1_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098365	AMPLICON	545	13501830	PRJNA356769	SAMN06126855	Metagenome or environmental	6429568	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX2415151	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	441369442_2_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	441369442_2_18S	441369442_2_18S	SRP094940	2016-12-12T10:06:00Z	1
SRR5098366	AMPLICON	600	27031200	PRJNA356769	SAMN06126895	Metagenome or environmental	14171464	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,fastq,sra"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415152	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	686765762_2_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	686765762_2_ITS2	686765762_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098367	AMPLICON	600	53820600	PRJNA356769	SAMN06126893	Metagenome or environmental	28155998	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX2415153	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	686765762_1_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	686765762_1_ITS2	686765762_1_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098368	AMPLICON	600	9064800	PRJNA356769	SAMN06126557	Metagenome or environmental	4621735	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415154	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158236265_2_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158236265_2_ITS2	158236265_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098369	AMPLICON	600	16416000	PRJNA356769	SAMN06126736	Metagenome or environmental	8800499	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"sra,fastq,run.zq"	"ncbi,s3,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415155	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160603188_3_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160603188_3_ITS2	160603188_3_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098370	AMPLICON	500	53243000	PRJNA356769	SAMN06126707	Metagenome or environmental	20361061	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"sra,run.zq,fastq"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415156	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160340197_2_ITS2-00000000-AGCWJ.Ayvaz.p255	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160340197_2_ITS2	160340197_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098371	AMPLICON	600	115362000	PRJNA356769	SAMN06126792	Metagenome or environmental	61125521	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415157	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	161351702_1_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	161351702_1_ITS2	161351702_1_ITS2	SRP094940	2016-12-12T10:06:00Z	1
SRR5098372	AMPLICON	600	11421000	PRJNA356769	SAMN06126575	Metagenome or environmental	5827812	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX2415158	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158458797_2_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158458797_2_ITS2	158458797_2_ITS2	SRP094940	2016-12-12T10:06:00Z	1
